,楼盘名,链接,地址,楼盘状态,楼盘类型,均价,居室类型,面积
368,中旗•第五大道,http://gl.loupan.com/loupan/7075441.html,[八里街区],现房在售,住宅,5500, 一居  ，  二居  ，  三居 , 面积：43.32-129平米 
369,永福碧桂园,http://gl.loupan.com/loupan/7076761.html,[大桂林],期房在售,住宅,5500, 四居  ，  五居 , 面积：127-215平米 
370,碧桂园山河郡,http://gl.loupan.com/loupan/7075474.html,[大桂林],现房在售,住宅,5500,null,null
371,彰泰滟澜山,http://gl.loupan.com/loupan/7075429.html,[临桂区],现房在售,住宅,5600, 三居  ，  四居  ，  五居 , 面积：88.54-120.53平米 
372,灵川碧桂园,http://gl.loupan.com/loupan/7079769.html,[灵川县],期房在售,住宅,5688, 三居  ，  四居  ，  五居 , 面积：118-215平米 
373,彰泰欢乐颂,http://gl.loupan.com/loupan/7075479.html,[临桂区],现房在售,住宅,5700, 二居  ，  三居  ，  四居 , 面积：72-138平米 
374,顺祥天骄,http://gl.loupan.com/loupan/7075467.html,[八里街区],现房在售,住宅,5700, 二居  ，  三居  ，  四居 , 面积：66.64-128.56平米 
375,锦豪·迪亚小城,http://gl.loupan.com/loupan/7075483.html,[七星区],现房在售,住宅,6600,null,null
376,鹏程金色城市,http://gl.loupan.com/loupan/7075456.html,[八里街区],现房在售,住宅,4988, 一居  ，  二居  ，  三居 , 面积：73.44-129.94平米 
377,信昌棠棣之华,http://gl.loupan.com/loupan/7031349.html,[七星区],在售,住宅,9500, 一居  ，  二居  ，  三居 , 面积：34.32-142.05平米 
378,双悦SOHO,http://gl.loupan.com/loupan/7075472.html,[八里街区],现房在售,住宅,5300, 二居  ，  三居  ，  四居 , 面积：85-131.8平米 
379,三元极第,http://gl.loupan.com/loupan/6183470.html,[八里街区],在售,住宅,4500, 一居  ，  二居  ，  三居 , 面积：115-127.27平米 
380,雅云尚城,http://gl.loupan.com/loupan/7030701.html,[八里街区],现房在售,住宅,5000, 三居  ，  四居 , 面积：84.85-124.60平米 
381,瑞锦欣城,http://gl.loupan.com/loupan/7030735.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：87-157平米 
382,瑞锦国际商贸城·浙商大酒店,http://gl.loupan.com/loupan/7078639.html,[大桂林],在售,住宅,7000, 一居  ，  二居 , 面积：42-89平米 
383,桂林恒大广场,http://gl.loupan.com/loupan/7075409.html,[叠彩区],现房在售,住宅,7100, 三居  ，  四居 , 面积：186.29-276.63平米 
384,天骄·紫东新城,http://gl.loupan.com/loupan/7080082.html,[大桂林],在售,住宅,4800, 二居  ，  三居  ，  四居 , 面积：89.07-143.07平米 
385,三祺·澜湖国际,http://gl.loupan.com/loupan/7075424.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：92.83-185.79平米 
386,耀辉·美好家园,http://gl.loupan.com/loupan/6183428.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：60.55-263.84平米 
387,安厦·麒麟湾畔,http://gl.loupan.com/loupan/7077329.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：83.06-367.76平米 
388,花样年·麓湖国际社区,http://gl.loupan.com/loupan/6183443.html,[临桂区],在售,住宅,6000, 二居  ，  三居  ，  四居 , 面积：79.96-135平米 
389,慧佳城,http://gl.loupan.com/loupan/7075442.html,[临桂区],现房在售,住宅,6200, 三居  ，  四居 , 面积：91.37-136.9平米 
390,彰泰金桥水岸,http://gl.loupan.com/loupan/7075401.html,[临桂区],现房在售,住宅,6300, 二居  ，  三居  ，  四居 , 面积：72-120平米 
391,汇金万象新城,http://gl.loupan.com/loupan/7077130.html,[八里街区],在售,住宅,7500, 一居  ，  二居  ，  三居 , 面积：76.9-240平米 
392,安厦漓江大美,http://gl.loupan.com/loupan/7031463.html,[象山区],在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：70.79-153.10平米 
393,兴进·漓江郡府,http://gl.loupan.com/loupan/7031310.html,[七星区],在售,住宅,12500, 二居  ，  三居  ，  四居 , 面积：83-257平米 
394,HAO悦国际,http://gl.loupan.com/loupan/7079596.html,[象山区],在售,住宅,8500,null, 面积：64.01-64.01平米 
395,新裕公馆,http://gl.loupan.com/loupan/7075492.html,[七星区],现房在售,住宅,7300, 二居  ，  三居 , 面积：83.52-129平米 
396,彰泰橘子郡,http://gl.loupan.com/loupan/7075398.html,[叠彩区],现房在售,住宅,5388, 三居  ，  四居 , 面积：89-126平米 
397,龙光·普罗旺斯,http://gl.loupan.com/loupan/7076734.html,[象山区],在售,住宅,6500, 三居  ，  四居  ，  五居 , 面积：88.82-223.63平米 
398,大龙湾,http://gl.loupan.com/loupan/7075464.html,[秀峰区],现房在售,住宅,11000, 三居  ，  四居 , 面积：98-140平米 
399,汇荣·桂林桂林,http://gl.loupan.com/loupan/7076509.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：76.96-133平米 
400,飞虎林居,http://gl.loupan.com/loupan/7032849.html,[大桂林],现房在售,住宅,5100, 一居  ，  二居  ，  三居 , 面积：43-138.9平米 
401,飞虎林居·主题式酒店公寓,http://gl.loupan.com/loupan/6183429.html,[临桂区],现房在售,住宅,6100,null, 面积：51-51平米 
402,桂林碧桂园,http://gl.loupan.com/loupan/7075458.html,[临桂区],现房在售,住宅,7300, 二居  ，  三居  ，  四居 , 面积：72-818平米 
403,桂林国奥城,http://gl.loupan.com/loupan/7031337.html,[叠彩区],在售,住宅,9200, 三居  ，  四居 , 面积：89-215平米 
404,万鑫商贸广场· 曼哈顿酒店,http://gl.loupan.com/loupan/7079991.html,[叠彩区],在售,住宅,9500,null,null
405, 融创桂林文旅城,http://gl.loupan.com/loupan/7031322.html,[七星区],现房在售,住宅,8600, 二居  ，  三居  ，  四居 , 面积：75-138平米 
406,彰泰峰誉,http://gl.loupan.com/loupan/7031338.html,[八里街区],现房在售,住宅,5200, 一居  ，  二居  ，  三居 , 面积：39-137平米 
407,信和信大中华养生谷,http://gl.loupan.com/loupan/7075482.html,[临桂区],现房在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：88.5-179.06平米 
408,彰泰桃源居,http://gl.loupan.com/loupan/7075427.html,[秀峰区],现房在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：75-141平米 
409,星河园,http://gl.loupan.com/loupan/7075465.html,[灵川县],在售,住宅,4500, 四居 , 面积：124.56-136.86平米 
410,精通·伊顿国际,http://gl.loupan.com/loupan/6183539.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：85.75-143.39平米 
411,金源新城福邸嘉园,http://gl.loupan.com/loupan/6183504.html,[临桂区],在售,住宅,6400, 三居  ，  四居 , 面积：128-159平米 
412,兴进漓江壹号,http://gl.loupan.com/loupan/7083218.html,[七星区],期房待售,住宅,价格待定, 三居  ，  四居  ，  五居 , 面积：87.51-259.33平米 
413,安厦西宸源著,http://gl.loupan.com/loupan/7083317.html,[临桂区],待售,住宅,价格待定,null,null
414,筑成时代春晓,http://gl.loupan.com/loupan/7081698.html,[叠彩区],期房待售,住宅,价格待定, 三居  ，  四居  ，  五居 , 面积：20.07-153.25平米 
415,阳光书院,http://gl.loupan.com/loupan/7084019.html,[临桂区],期房在售,住宅,价格待定, 二居  ，  三居  ，  四居 , 面积：45-129.21平米 
416,桂林大龙府,http://gl.loupan.com/loupan/7083343.html,[灵川县],期房待售,住宅,价格待定,null,null
417,绿涛甘棠府,http://gl.loupan.com/loupan/7084871.html,[灵川县],在售,住宅,价格待定,null,null
418,安厦世纪城,http://gl.loupan.com/loupan/7076979.html,[象山区],期房在售,住宅,价格待定,null,null
419,碧园香槟小镇,http://gl.loupan.com/loupan/7075428.html,[临桂区],现房待售,住宅,价格待定,null, 面积：75-121平米 
420,荣和桃花源著,http://gl.loupan.com/loupan/7081711.html,[叠彩区],期房待售,住宅,价格待定, 三居  ，  四居 , 面积：95-140平米 
421,顺祥漓江源居,http://gl.loupan.com/loupan/7083925.html,[八里街区],期房待售,住宅,价格待定,null,null
422,彰泰·中央城,http://gl.loupan.com/loupan/7081959.html,[临桂区],期房待售,住宅,价格待定, 三居  ，  四居  ，  五居 , 面积：102-142平米 
423,广汇汇悦城,http://gl.loupan.com/loupan/7082677.html,[临桂区],期房待售,住宅,价格待定, 三居  ，  四居 , 面积：86-118平米 
424,桂林国韵村,http://gl.loupan.com/loupan/7081781.html,[临桂区],期房在售,住宅,价格待定, 三居  ，  四居 , 面积：93-138平米 
425,中森橄榄树庄园,http://gl.loupan.com/loupan/7083345.html,[临桂区],待售,住宅,价格待定, 一居  ，  二居  ，  三居 , 面积：53.8-131平米 
426,盛丰国际,http://gl.loupan.com/loupan/7075471.html,[七星区],期房在售,住宅,价格待定, 一居 , 面积：41.43-55.97平米 
427,阳光家园,http://gl.loupan.com/loupan/7084631.html,[秀峰区],期房待售,住宅,价格待定, 二居  ，  三居 , 面积：76.3-116.28平米 
428,兴安碧桂园,http://gl.loupan.com/loupan/7081501.html,[大桂林],期房在售,住宅,价格待定,null,null
429,平乐碧桂园,http://gl.loupan.com/loupan/7083186.html,[大桂林],期房在售,住宅,价格待定,null,null
430,雍禾新城国际,http://gl.loupan.com/loupan/7083415.html,[临桂区],待售,住宅,价格待定, 二居  ，  三居 , 面积：84.66-120.34平米 
431,溪岸枫景,http://gl.loupan.com/loupan/7082587.html,[临桂区],在售,住宅,39, 二居  ，  三居  ，  四居 , 面积：75-143平米 
432,桂林公馆原乡墅,http://gl.loupan.com/loupan/6183505.html,[叠彩区],在售,住宅,320,null,null
433,水印长廊,http://gl.loupan.com/loupan/6183537.html,[],在售,住宅,1300,null,null
434,华申昭州鑫城,http://gl.loupan.com/loupan/7075407.html,[大桂林],现房在售,住宅,3000, 二居  ，  三居  ，  四居 , 面积：87.85-160.63平米 
435,和谐康城,http://gl.loupan.com/loupan/6183515.html,[灵川县],在售,住宅,3100, 二居  ，  三居 ,null
436,福祥西岸福邸,http://gl.loupan.com/loupan/7075497.html,[大桂林],现房在售,住宅,3100, 三居  ，  四居 , 面积：104.04-142.69平米 
437,翠苑新城,http://gl.loupan.com/loupan/7083217.html,[临桂区],在售,住宅,3200, 二居  ，  三居 , 面积：83.46-126.12平米 
438,万福安居小区,http://gl.loupan.com/loupan/7083224.html,[象山区],期房在售,住宅,3200, 一居  ，  二居  ，  三居 , 面积：47.89-83.16平米 
439,体育星城三期,http://gl.loupan.com/loupan/7075480.html,[大桂林],现房在售,住宅,3200, 三居  ，  四居 , 面积：119.36-142.57平米 
440,华盛滨江一品,http://gl.loupan.com/loupan/7075496.html,[大桂林],现房在售,住宅,3300, 三居 , 面积：117.56-119019平米 
441,古镇庭苑,http://gl.loupan.com/loupan/6183438.html,[灵川县],在售,住宅,3300, 二居  ，  三居 ,null
442,展卓新视界,http://gl.loupan.com/loupan/7075433.html,[大桂林],现房在售,住宅,3400, 二居  ，  三居 , 面积：92-157平米 
443,彰泰北城1号,http://gl.loupan.com/loupan/7075430.html,[灵川县],现房在售,住宅,3500, 二居  ，  三居 , 面积：79-117平米 
444,东方沃顿,http://gl.loupan.com/loupan/7083440.html,[临桂区],在售,住宅,3500, 三居 , 面积：123-124平米 
445,幸福尚城,http://gl.loupan.com/loupan/7082007.html,[灵川县],在售,住宅,3500, 二居  ，  三居  ，  四居 , 面积：89-129.82平米 
446,景业商业广场,http://gl.loupan.com/loupan/7075552.html,[大桂林],现房在售,住宅,3500, 三居 , 面积：130.46-130.46平米 
447,财茂印象恭城,http://gl.loupan.com/loupan/7075419.html,[大桂林],现房在售,住宅,3500, 二居  ，  三居 , 面积：86.95-125.96平米 
448,东苑国际,http://gl.loupan.com/loupan/7075463.html,[七星区],现房在售,住宅,3580, 二居  ，  三居 , 面积：83-122平米 
449,金达雅苑,http://gl.loupan.com/loupan/7093643.html,[八里街区],在售,住宅,3584, 四居 , 面积：104.79-134.04平米 
450,冠信幸福美地,http://gl.loupan.com/loupan/7075417.html,[临桂区],现房在售,住宅,3600, 二居  ，  三居 , 面积：87-123.02平米 
451,恒盛商业广场,http://gl.loupan.com/loupan/7075476.html,[大桂林],现房在售,住宅,3600, 一居  ，  三居 , 面积：34.38-125.14平米 
452,合辉聚景家苑,http://gl.loupan.com/loupan/7075436.html,[大桂林],现房在售,住宅,3600, 二居  ，  三居 , 面积：112.91113.07-119.29126.67平米 
453,日月湖国际生态城,http://gl.loupan.com/loupan/6183496.html,[大桂林],在售,住宅,3650,null,null
454,莱茵河畔,http://gl.loupan.com/loupan/7077109.html,[大桂林],现房在售,住宅,3700, 三居 , 面积：128.6-128.6平米 
455,凌云雅筑,http://gl.loupan.com/loupan/7082035.html,[灵川县],在售,住宅,3700, 三居  ，  四居 , 面积：106.06-141.94平米 
456,七星方元盛景,http://gl.loupan.com/loupan/7083296.html,[临桂区],在售,住宅,3700, 一居  ，  三居  ，  四居 , 面积：48.29-137.91平米 
457,资江明珠,http://gl.loupan.com/loupan/7075443.html,[大桂林],现房在售,住宅,4000, 一居  ，  二居  ，  三居 , 面积：45-129.88平米 
458,盛祥现代城,http://gl.loupan.com/loupan/6183511.html,[],在售,住宅,3700,null,null
459,利森红郡,http://gl.loupan.com/loupan/7031475.html,[雁山区],期房在售,住宅,3790, 二居  ，  三居  ，  四居 , 面积：88.24-145.51平米 
460,桂林留园,http://gl.loupan.com/loupan/6183510.html,[大桂林],在售,住宅,3800,null,null
461,凤凰鑫城,http://gl.loupan.com/loupan/7076763.html,[大桂林],现房在售,住宅,3800,null,null
462,梧桐大厦,http://gl.loupan.com/loupan/6183538.html,[八里街区],在售,住宅,3800, 二居  ，  三居 ,null
463,力天·万和佳苑,http://gl.loupan.com/loupan/7075473.html,[八里街区],现房在售,住宅,3850, 二居  ，  三居 , 面积：86.82-120.82平米 
464,金水华府,http://gl.loupan.com/loupan/7083375.html,[临桂区],待售,住宅,3850, 二居  ，  三居 , 面积：91.53-117.96平米 
465,中豪国际,http://gl.loupan.com/loupan/7075444.html,[八里街区],现房在售,住宅,4200, 二居  ，  三居 , 面积：52-137.58平米 
466,福达万鹂江山,http://gl.loupan.com/loupan/7075459.html,[大桂林],现房在售,住宅,4300, 三居  ，  四居 , 面积：96.35-121.68平米 
467,万景时代广场,http://gl.loupan.com/loupan/7075462.html,[大桂林],现房在售,住宅,4300,null,null
468,华宁·桂林新都,http://gl.loupan.com/loupan/7075489.html,[临桂区],现房在售,住宅,4300, 二居  ，  三居 , 面积：83-119.64平米 
469,一江名城,http://gl.loupan.com/loupan/6183501.html,[],待售,住宅,4400,null,null
470,香林郡,http://gl.loupan.com/loupan/7031198.html,[八里街区],在售,住宅,4500, 三居  ，  四居  ，  五居 , 面积：84-137.19平米 
471,吉安龙城,http://gl.loupan.com/loupan/7032844.html,[临桂区],现房在售,住宅,4500, 二居  ，  三居  ，  四居 , 面积：89-154平米 
472,湘江壹號,http://gl.loupan.com/loupan/7082565.html,[],现房在售,住宅,4500,null,null
473,漓江蓝湾,http://gl.loupan.com/loupan/6183467.html,[八里街区],在售,住宅,4600, 二居  ，  三居 , 面积：69.23-140.27平米 
474,梧桐墅五期十里花海,http://gl.loupan.com/loupan/7083255.html,[灵川县],期房在售,住宅,4600, 二居  ，  三居  ，  四居 , 面积：90-144平米 
475,袭汇金色维也纳,http://gl.loupan.com/loupan/7032845.html,[灵川县],现房在售,住宅,4600, 二居  ，  三居 , 面积：88.00-130平米 
476,源泉尚璟,http://gl.loupan.com/loupan/7078551.html,[临桂区],现房在售,住宅,4700, 一居  ，  二居  ，  三居 , 面积：47.64-120.68平米 
477,汇通·尚居,http://gl.loupan.com/loupan/7075461.html,[临桂区],现房在售,住宅,4700, 一居  ，  二居  ，  三居 , 面积：41.63-126.84平米 
478,金星阳光格林,http://gl.loupan.com/loupan/7075437.html,[灵川县],现房在售,住宅,4800, 三居 , 面积：132.37-139.99平米 
479,中旗第5大道,http://gl.loupan.com/loupan/7083454.html,[八里街区],在售,住宅,4900, 一居  ，  二居  ，  三居 , 面积：59-129平米 
480,宜和云天,http://gl.loupan.com/loupan/6183471.html,[临桂区],在售,住宅,4978, 一居  ，  二居  ，  三居 , 面积：51.84-118.09平米 
481,泽森山水绿城,http://gl.loupan.com/loupan/7083511.html,[临桂区],期房在售,住宅,5000, 二居  ，  三居  ，  四居 , 面积：89-133平米 
482,水岸新城,http://gl.loupan.com/loupan/6183518.html,[八里街区],在售,住宅,5000, 二居  ，  三居  ，  四居 , 面积：80.96-182.72平米 
483,雁山新城,http://gl.loupan.com/loupan/7031476.html,[雁山区],在售,住宅,5000, 一居 , 面积：42-65平米 
484,城南丽景阳光里,http://gl.loupan.com/loupan/7075445.html,[象山区],现房在售,住宅,5000, 三居 , 面积：95.33-96.9平米 
485,桂林电子商城,http://gl.loupan.com/loupan/6183547.html,[临桂区],在售,住宅,5000,null,null
486,合凯山水国际,http://gl.loupan.com/loupan/7075485.html,[临桂区],现房在售,住宅,5300, 二居  ，  三居  ，  四居 , 面积：91.45-136.92平米 
487,和欣西堤春天,http://gl.loupan.com/loupan/7081527.html,[临桂区],期房在售,住宅,5300, 二居  ，  三居 , 面积：49.16-110.33平米 
488,众阳华城,http://gl.loupan.com/loupan/7075400.html,[临桂区],现房在售,住宅,5400, 三居  ，  四居 , 面积：91-132平米 
489,山水凤凰城,http://gl.loupan.com/loupan/6183440.html,[临桂区],在售,住宅,5500, 二居  ，  三居  ，  四居 , 面积：72.63-128.93平米 
490,福达万鹂华庭,http://gl.loupan.com/loupan/7081709.html,[临桂区],期房在售,住宅,5500,null,null
491,兴荣郡,http://gl.loupan.com/loupan/7031206.html,[临桂区],在售,住宅,5500, 三居  ，  四居 , 面积：73.00-108.00平米 
492,华鼎·雍王府,http://gl.loupan.com/loupan/7032847.html,[临桂区],现房在售,住宅,5500, 一居  ，  二居  ，  三居 , 面积：55.56-127.57平米 
493,中旗•第五大道,http://gl.loupan.com/loupan/7075441.html,[八里街区],现房在售,住宅,5500, 一居  ，  二居  ，  三居 , 面积：43.32-129平米 
494,永福碧桂园,http://gl.loupan.com/loupan/7076761.html,[大桂林],期房在售,住宅,5500, 四居  ，  五居 , 面积：127-215平米 
495,碧桂园山河郡,http://gl.loupan.com/loupan/7075474.html,[大桂林],现房在售,住宅,5500,null,null
496,彰泰滟澜山,http://gl.loupan.com/loupan/7075429.html,[临桂区],现房在售,住宅,5600, 三居  ，  四居  ，  五居 , 面积：88.54-120.53平米 
497,灵川碧桂园,http://gl.loupan.com/loupan/7079769.html,[灵川县],期房在售,住宅,5688, 三居  ，  四居  ，  五居 , 面积：118-215平米 
498,彰泰欢乐颂,http://gl.loupan.com/loupan/7075479.html,[临桂区],现房在售,住宅,5700, 二居  ，  三居  ，  四居 , 面积：72-138平米 
499,顺祥天骄,http://gl.loupan.com/loupan/7075467.html,[八里街区],现房在售,住宅,5700, 二居  ，  三居  ，  四居 , 面积：66.64-128.56平米 
500,顺祥城,http://gl.loupan.com/loupan/7075495.html,[八里街区],现房在售,住宅,5700, 二居  ，  三居  ，  四居 , 面积：70.24-123.65平米 
501,和公馆,http://gl.loupan.com/loupan/7074323.html,[临桂区],现房在售,住宅,5700, 三居  ，  四居  ，  五居 , 面积：107.74-176.4平米 
502,花语倾城,http://gl.loupan.com/loupan/7031391.html,[临桂区],现房在售,住宅,5800, 三居  ，  四居 , 面积：85.9-126.87平米 
503,彰泰红,http://gl.loupan.com/loupan/7079082.html,[临桂区],现房在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：97.5-144平米 
504,滨江云尚,http://gl.loupan.com/loupan/7081236.html,[临桂区],期房在售,住宅,5800, 一居  ，  三居 , 面积：61-122平米 
505,桂林彰泰郡,http://gl.loupan.com/loupan/7080292.html,[临桂区],期房在售,住宅,5800, 三居  ，  四居  ，  五居 , 面积：91-140平米 
506,时代枫林,http://gl.loupan.com/loupan/7082043.html,[临桂区],期房在售,住宅,5800, 二居  ，  三居 , 面积：79-126平米 
507,滨江明珠,http://gl.loupan.com/loupan/7077628.html,[临桂区],现房在售,住宅,5900, 二居  ，  三居  ，  四居 , 面积：94.87-137.10平米 
508,地王国际,http://gl.loupan.com/loupan/7075491.html,[临桂区],现房在售,住宅,5999, 三居 , 面积：132.06-132.06平米 
509,润鸿水尚,http://gl.loupan.com/loupan/6183433.html,[象山区],在售,住宅,6000, 二居  ，  三居  ，  四居 , 面积：88-226.85平米 
510,碧园·印象桂林,http://gl.loupan.com/loupan/6183456.html,[临桂区],在售,住宅,6000,null,null
511,联发·悦溪府,http://gl.loupan.com/loupan/7080871.html,[临桂区],期房在售,住宅,6000, 三居  ，  四居  ，  五居 , 面积：89-140平米 
512,慧泽华府,http://gl.loupan.com/loupan/6183474.html,[大桂林],在售,住宅,6000,null,null
513,兴盛·天鹅堡,http://gl.loupan.com/loupan/7075411.html,[临桂区],现房在售,住宅,6000, 二居  ，  三居  ，  四居 , 面积：65.88-181.62平米 
514,永桂明珠,http://gl.loupan.com/loupan/7075412.html,[临桂区],现房在售,住宅,6000, 二居  ，  三居  ，  四居 , 面积：92-140平米 
515,秀兰郡府,http://gl.loupan.com/loupan/7081441.html,[临桂区],期房在售,住宅,6200, 二居  ，  三居 , 面积：66-120平米 
516,桂林吾悦华府,http://gl.loupan.com/loupan/7083467.html,[临桂区],期房在售,住宅,6300, 二居  ，  三居  ，  四居 , 面积：98-142平米 
517,竣为景观360,http://gl.loupan.com/loupan/7076504.html,[七星区],在售,住宅,6300, 三居 , 面积：134.93-134.93平米 
518,顺祥别院,http://gl.loupan.com/loupan/7081981.html,[大桂林],期房在售,住宅,6400, 二居  ，  三居  ，  四居 , 面积：74-120平米 
519,碧桂园剑桥郡,http://gl.loupan.com/loupan/7083219.html,[临桂区],在售,住宅,6488,null,null
520,飞扬国际,http://gl.loupan.com/loupan/6183494.html,[临桂区],在售,住宅,6500,null,null
521,万象·芭堤雅,http://gl.loupan.com/loupan/6183483.html,[临桂区],在售,住宅,6588,null,null
522,雙悦山,http://gl.loupan.com/loupan/7081255.html,[大桂林],在售,住宅,6600, 三居 , 面积：34.55-49.93平米 
523,桂林奥林匹克花园,http://gl.loupan.com/loupan/6183451.html,[临桂区],在售,住宅,6800, 二居  ，  三居 , 面积：85.36-135.18平米 
524,城中雅居,http://gl.loupan.com/loupan/7093641.html,[秀峰区],在售,住宅,7000, 三居  ，  四居 , 面积：71.02-104.13平米 
525,锦豪·迪亚小城,http://gl.loupan.com/loupan/7075483.html,[七星区],现房在售,住宅,6600,null,null
526,鹏程金色城市,http://gl.loupan.com/loupan/7075456.html,[八里街区],现房在售,住宅,4988, 一居  ，  二居  ，  三居 , 面积：73.44-129.94平米 
527,信昌棠棣之华,http://gl.loupan.com/loupan/7031349.html,[七星区],在售,住宅,9500, 一居  ，  二居  ，  三居 , 面积：34.32-142.05平米 
528,双悦SOHO,http://gl.loupan.com/loupan/7075472.html,[八里街区],现房在售,住宅,5300, 二居  ，  三居  ，  四居 , 面积：85-131.8平米 
529,三元极第,http://gl.loupan.com/loupan/6183470.html,[八里街区],在售,住宅,4500, 一居  ，  二居  ，  三居 , 面积：115-127.27平米 
530,雅云尚城,http://gl.loupan.com/loupan/7030701.html,[八里街区],现房在售,住宅,5000, 三居  ，  四居 , 面积：84.85-124.60平米 
531,瑞锦欣城,http://gl.loupan.com/loupan/7030735.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：87-157平米 
532,瑞锦国际商贸城·浙商大酒店,http://gl.loupan.com/loupan/7078639.html,[大桂林],在售,住宅,7000, 一居  ，  二居 , 面积：42-89平米 
533,桂林恒大广场,http://gl.loupan.com/loupan/7075409.html,[叠彩区],现房在售,住宅,7100, 三居  ，  四居 , 面积：186.29-276.63平米 
534,天骄·紫东新城,http://gl.loupan.com/loupan/7080082.html,[大桂林],在售,住宅,4800, 二居  ，  三居  ，  四居 , 面积：89.07-143.07平米 
535,三祺·澜湖国际,http://gl.loupan.com/loupan/7075424.html,[临桂区],现房在售,住宅,5600, 二居  ，  三居  ，  四居 , 面积：92.83-185.79平米 
536,耀辉·美好家园,http://gl.loupan.com/loupan/6183428.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：60.55-263.84平米 
537,安厦·麒麟湾畔,http://gl.loupan.com/loupan/7077329.html,[临桂区],在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：83.06-367.76平米 
538,花样年·麓湖国际社区,http://gl.loupan.com/loupan/6183443.html,[临桂区],在售,住宅,6000, 二居  ，  三居  ，  四居 , 面积：79.96-135平米 
539,慧佳城,http://gl.loupan.com/loupan/7075442.html,[临桂区],现房在售,住宅,6200, 三居  ，  四居 , 面积：91.37-136.9平米 
540,彰泰金桥水岸,http://gl.loupan.com/loupan/7075401.html,[临桂区],现房在售,住宅,6300, 二居  ，  三居  ，  四居 , 面积：72-120平米 
541,汇金万象新城,http://gl.loupan.com/loupan/7077130.html,[八里街区],在售,住宅,7500, 一居  ，  二居  ，  三居 , 面积：76.9-240平米 
542,安厦漓江大美,http://gl.loupan.com/loupan/7031463.html,[象山区],在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：70.79-153.10平米 
543,兴进·漓江郡府,http://gl.loupan.com/loupan/7031310.html,[七星区],在售,住宅,12500, 二居  ，  三居  ，  四居 , 面积：83-257平米 
544,HAO悦国际,http://gl.loupan.com/loupan/7079596.html,[象山区],在售,住宅,8500,null, 面积：64.01-64.01平米 
545,新裕公馆,http://gl.loupan.com/loupan/7075492.html,[七星区],现房在售,住宅,7300, 二居  ，  三居 , 面积：83.52-129平米 
546,彰泰橘子郡,http://gl.loupan.com/loupan/7075398.html,[叠彩区],现房在售,住宅,5388, 三居  ，  四居 , 面积：89-126平米 
547,龙光·普罗旺斯,http://gl.loupan.com/loupan/7076734.html,[象山区],在售,住宅,6500, 三居  ，  四居  ，  五居 , 面积：88.82-223.63平米 
548,大龙湾,http://gl.loupan.com/loupan/7075464.html,[秀峰区],现房在售,住宅,11000, 三居  ，  四居 , 面积：98-140平米 
549,汇荣·桂林桂林,http://gl.loupan.com/loupan/7076509.html,[临桂区],在售,住宅,6500, 二居  ，  三居  ，  四居 , 面积：76.96-133平米 
550,飞虎林居,http://gl.loupan.com/loupan/7032849.html,[大桂林],现房在售,住宅,5100, 一居  ，  二居  ，  三居 , 面积：43-138.9平米 
551,飞虎林居·主题式酒店公寓,http://gl.loupan.com/loupan/6183429.html,[临桂区],现房在售,住宅,6100,null, 面积：51-51平米 
552,桂林碧桂园,http://gl.loupan.com/loupan/7075458.html,[临桂区],现房在售,住宅,7300, 二居  ，  三居  ，  四居 , 面积：72-818平米 
553,桂林国奥城,http://gl.loupan.com/loupan/7031337.html,[叠彩区],在售,住宅,9200, 三居  ，  四居 , 面积：89-215平米 
554,万鑫商贸广场· 曼哈顿酒店,http://gl.loupan.com/loupan/7079991.html,[叠彩区],在售,住宅,9500,null,null
555, 融创桂林文旅城,http://gl.loupan.com/loupan/7031322.html,[七星区],现房在售,住宅,8600, 二居  ，  三居  ，  四居 , 面积：75-138平米 
556,彰泰峰誉,http://gl.loupan.com/loupan/7031338.html,[八里街区],现房在售,住宅,5200, 一居  ，  二居  ，  三居 , 面积：39-137平米 
557,信和信大中华养生谷,http://gl.loupan.com/loupan/7075482.html,[临桂区],现房在售,住宅,5800, 二居  ，  三居  ，  四居 , 面积：88.5-179.06平米 
558,彰泰桃源居,http://gl.loupan.com/loupan/7075427.html,[秀峰区],现房在售,住宅,8500, 二居  ，  三居  ，  四居 , 面积：75-141平米 
559,星河园,http://gl.loupan.com/loupan/7075465.html,[灵川县],在售,住宅,4500, 四居 , 面积：124.56-136.86平米 
